"id","categoryPath","displayName"
"e1570eec-f7e8-4c2f-99a2-4ff5b3b5ab86","\Google\Google Chrome","Enable Renderer Code Integrity"
"2c75eb8a-678e-4dd9-aa2b-52e197c6e27a","\Microsoft Project 2016\Project Options\Security\Trust Center","Trusted Location #18"
"873152cf-26c8-49ff-804b-60a45575251f","\Microsoft Office 2016\Language Preferences\Editing Languages\Enabled Editing Languages","Serbian (Latin, Bosnia and Herzegovina)"
"21314e42-4fac-4ced-ba9f-b0e42e2b0fa6","\FSLogix\ODFC Containers","Include OneDrive"
"c78ba889-9d10-415c-9b7a-11cdf5251423","\Microsoft Edge\Content settings","Block Window Management permission on specified sites"
"b9db2665-1a43-40fc-bb0e-7dae228dfca4","\Microsoft Edge","Allow freezing of background tabs (obsolete)"
"e99c3986-45dd-4f53-8f8a-98d16e7c1fc9","\Microsoft Office 2016\Present Online","Prevent users from adding online presentation services in PowerPoint and Word"
"75741ff6-de38-4e0f-a7df-16cca0a2da30","\Microsoft Edge","Specifies whether WebAssembly modules can be sent cross-origin"
"53b2eeab-7303-42a0-8e68-b1cab3de0b6f","\Microsoft Edge","Set the roaming profile directory"
"28a48cfe-cb21-43a2-8bfa-c7d6b032510c","\Microsoft OneNote 2016\OneNote Options\Pen","Automatically switch between Pen and Selection Tool"
"be101b8a-f229-4ff6-ab69-eda63f199b56","\Microsoft Office 2016\Global Options\Customize","Do not show ScreenTips on toolbars"
"fa9acea0-e032-4882-be38-26cefc3a8954","\Google\Google Chrome","Proxy settings"
"7f99c923-571c-4622-adb5-2e1d3b0066d1","\Microsoft Access 2016\Application Settings\Security\Trust Center\Trusted Locations","Trusted Location #14"
"99423b48-1fbe-4801-878a-3af87d2c5f44","\Microsoft Edge","In-app support Enabled"
"bd71456b-3697-412e-9cb7-c531a883839f","\Microsoft Edge - Default Settings (users can override)\Startup, home page and new tab page","Sites to open when the browser starts"
"84a3e432-6c72-441f-8be1-7fee5251e180","\Microsoft Edge","Allow managed extensions to use the Enterprise Hardware Platform API"
"07c7f1e7-01ad-403a-9b63-c28566c827a8","\Microsoft Edge\Extensions","Configure extension and user script install sources"
"cfda4beb-9ee6-408b-8e96-d3be46f71a0f","\Microsoft Office 2016\Language Preferences\Editing Languages\Enabled Editing Languages","Sami, Skolt (Finland)"
